0, 2024-05-06, 1715024676, 0, 0,  0
17, 2024-05-06, 1715024726, 0, 0,  0
17, 2024-05-06, 1715025098, 0, 0,  0
17, 2024-05-06, 1715025169, 0, 0,  0
18, 2024-05-06, 1715025441, 0, 0,  0
18, 2024-05-06, 1715026241, 0, 0,  0
18, 2024-05-06, 1715026250, 0, 0,  0
18, 2024-05-06, 1715027235, 0, 0,  0
18, 2024-05-06, 1715027361, 0, 0,  0
19, 2024-05-07, 1715059732, 17, 17,  17
19, 2024-05-07, 1715059774, 17, 17,  17
19, 2024-05-07, 1715059785, 17, 17,  17
18, 2024-05-07, 1715059819, 16, 16,  16
18, 2024-05-07, 1715059960, 16, 16,  16
